"Reference","Qty","Value","Footprint","Datasheet","Description"
"BAT1,BAT2","2","BS-7","digikey-footprints:Battery_Holder_Coin_2032_BS-7","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","BATTERY HOLDER COIN 20MM PC PIN"
"BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","Buzzer, polarized"
"C1","1","10 uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","Polarized capacitor"
"C2","1","100 nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","Unpolarized capacitor"
"D1,D3","2","LED","LED_THT:LED_D3.0mm","~","Light emitting diode"
"D2","1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1000V 1A General Purpose Rectifier Diode, DO-41"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R11","10","1 k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~","Resistor"
"R10","1","4.7 k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","~","Resistor"
"S1","1","RR511D1121","RR511D1121:E-SWITCH_RR511D1121","","Rocker Switch, RR5 Series, SPST,OFF-ON,Blk Rocker,I/O Legend, 20A, 125VAC, | E-Switch RR511D1121"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8","8","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_CK_PTS125Sx85PSMTR","~","Push button switch, generic, two pins"
"U1","1","NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fne555","IC OSC SINGLE TIMER 100KHZ 8-DIP"
